N=1073741824
GB=9.22
threads=56
Copy    Scale   Add     Triad
104.67   104.76   128.82   127.97   
105.07   104.75   128.41   128.23   
104.79   104.91   128.38   127.66   
105.17   104.87   128.44   127.89   
105.08   105.08   128.67   127.97   
105.01   105.08   128.38   127.96   
104.98   104.76   128.52   127.94   
104.96   104.78   128.43   128.14   
104.87   104.68   128.55   127.94   
104.85   104.98   128.45   128.16   
105.00   104.97   128.31   128.11   
104.99   104.73   128.46   128.20   
105.08   104.78   128.43   128.24   
104.88   105.02   128.45   128.06   
104.84   104.81   128.43   128.00   
105.09   104.60   128.72   128.10   
105.04   104.94   128.61   128.08   
105.06   104.88   128.41   128.16   
104.83   104.77   128.48   128.05   
104.92   105.00   128.35   128.16   
105.02   104.96   128.78   128.12   
104.76   104.99   128.49   127.92   
104.94   105.07   128.57   127.92   
104.88   104.90   128.56   128.24   
104.87   104.81   128.31   127.93   
104.86   104.57   128.57   128.15   
104.87   104.86   128.29   128.00   
104.97   104.83   128.48   127.74   
104.90   104.93   128.57   128.14   
104.91   104.62   128.39   128.04   
105.00   104.66   128.56   127.90   
104.92   104.79   128.13   128.06   
104.80   104.98   128.33   127.96   
105.06   105.02   128.59   128.07   
104.88   104.79   128.45   128.29   
105.05   104.95   128.32   128.00   
104.99   104.75   128.79   128.06   
104.77   104.86   128.40   127.83   
105.01   104.76   128.42   128.12   
104.91   104.71   128.50   127.90   
104.84   104.77   128.46   127.98   
104.93   104.97   128.47   128.13   
104.81   104.79   128.57   128.38   
105.02   104.57   128.57   128.14   
105.01   104.99   128.58   127.96   
105.06   104.80   128.42   127.97   
105.13   104.90   128.49   128.07   
104.83   104.88   128.53   127.93   
104.88   104.89   128.33   128.13   
104.89   105.00   128.54   128.19   
104.99   104.88   128.34   127.98   
104.92   105.00   128.50   128.00   
105.10   105.01   128.47   127.86   
104.82   104.69   128.48   127.94   
105.03   104.83   128.61   128.00   
104.92   104.88   128.57   127.93   
104.80   105.01   128.50   128.23   
104.96   105.03   128.46   127.84   
105.02   104.69   128.59   128.00   
104.94   104.93   128.46   128.23   
104.84   104.87   128.57   127.79   
104.93   104.81   128.43   128.01   
105.11   105.00   128.52   127.87   
104.83   104.76   128.39   128.10   
105.08   105.03   128.41   128.32   
104.94   104.94   128.52   127.95   
104.98   104.86   128.50   127.92   
104.88   105.05   128.87   128.16   
104.92   104.82   128.59   127.83   
105.08   104.86   128.66   128.06   
104.79   104.98   128.38   127.96   
104.80   105.03   128.36   128.32   
105.07   104.82   128.38   128.21   
104.96   104.91   128.43   128.14   
105.07   104.69   128.37   127.90   
104.88   104.88   128.36   127.91   
104.94   104.90   128.43   128.14   
104.96   104.92   128.62   128.15   
105.11   104.89   128.56   128.17   
104.97   104.80   128.60   128.05   
105.02   104.88   128.59   127.87   
104.93   104.90   128.23   127.95   
104.78   104.75   128.47   128.21   
105.09   104.67   128.23   128.05   
104.80   104.96   128.30   128.01   
104.94   104.93   128.52   128.15   
105.04   105.03   128.45   128.14   
104.92   104.83   128.36   127.88   
104.98   104.77   128.40   128.09   
104.88   104.79   128.52   128.02   
104.87   104.68   128.65   128.05   
104.88   105.03   128.34   127.88   
104.92   104.83   128.52   128.05   
104.76   104.73   128.49   128.08   
105.04   104.99   128.51   127.98   
105.03   104.93   128.34   128.03   
104.95   104.93   128.57   127.76   
104.81   105.07   128.46   127.92   
105.06   104.89   128.58   127.97   
104.88   104.78   128.42   127.81   
