N=100000000
GB=0.80
threads=10
Copy    Scale   Add     Triad
135.65   145.47   134.99   134.79   
144.80   144.46   134.72   135.71   
144.96   145.59   133.95   134.62   
144.13   144.71   135.39   135.05   
133.06   139.43   127.84   134.80   
145.60   144.81   134.35   132.48   
140.27   137.46   132.22   134.31   
139.46   139.14   133.82   135.26   
145.44   145.28   134.51   134.79   
144.82   144.12   133.38   131.94   
143.69   142.98   131.34   134.51   
144.78   142.04   134.48   134.64   
145.47   144.98   134.63   133.73   
144.03   145.16   135.29   134.59   
145.11   142.83   134.88   134.64   
144.87   145.37   135.25   135.11   
142.79   145.23   134.89   133.39   
142.97   141.82   131.93   134.60   
141.04   141.63   131.96   132.54   
145.97   145.03   135.34   134.47   
143.56   144.20   135.30   135.30   
140.85   132.72   126.40   135.02   
145.65   144.78   135.25   134.48   
144.67   144.77   135.27   135.05   
144.53   145.19   135.54   134.28   
145.46   145.37   135.17   134.85   
145.85   145.71   135.10   135.33   
145.05   143.78   134.65   135.21   
145.57   145.13   134.88   133.59   
145.27   144.69   135.24   134.67   
144.95   145.20   135.05   134.83   
144.87   145.83   134.51   135.03   
144.34   144.64   135.38   134.95   
145.51   138.79   135.33   134.63   
145.81   144.52   135.24   134.92   
145.27   145.60   135.10   132.86   
144.81   145.07   135.59   134.63   
145.16   145.34   132.75   134.49   
144.87   143.91   132.12   125.96   
143.85   145.28   135.43   134.60   
143.64   142.73   135.27   133.84   
145.53   144.92   132.44   132.95   
143.46   144.30   134.18   134.65   
144.86   142.64   134.85   134.46   
145.24   144.68   135.62   134.92   
140.87   138.53   130.75   114.33   
98.32   105.39   122.38   120.43   
138.48   118.69   121.51   129.41   
110.97   133.42   119.68   121.15   
136.11   60.83   71.11   103.26   
140.59   145.24   135.06   134.77   
144.73   144.42   134.52   133.30   
138.12   135.95   131.25   133.78   
128.06   137.42   127.49   131.36   
142.23   144.17   135.30   134.94   
143.91   144.35   134.97   135.15   
143.01   144.98   134.57   135.02   
144.80   144.69   134.73   135.36   
144.48   145.39   133.98   135.26   
145.30   145.39   135.11   133.99   
136.47   133.07   132.22   134.12   
136.02   144.94   135.09   134.80   
144.47   139.98   135.05   134.97   
144.40   143.85   135.00   134.67   
143.73   144.31   134.83   134.51   
144.35   144.87   135.09   134.89   
145.69   144.86   135.23   133.98   
145.24   144.94   135.52   134.83   
144.86   145.11   135.31   135.16   
144.07   145.27   135.40   135.35   
144.81   145.44   132.51   128.49   
132.74   136.10   134.38   135.09   
145.63   144.16   134.27   134.73   
144.60   142.63   134.89   134.53   
145.60   144.72   135.15   134.81   
144.23   145.19   135.48   132.37   
145.44   143.37   135.02   135.33   
145.14   145.34   130.53   128.36   
143.50   142.84   134.46   134.67   
142.96   144.73   133.45   134.33   
144.24   145.43   134.82   134.88   
144.71   144.97   135.66   133.32   
144.90   145.39   135.65   135.13   
144.60   144.90   135.10   134.36   
144.78   144.64   135.34   135.20   
145.37   145.10   135.42   134.67   
145.71   144.92   134.64   134.86   
145.55   144.65   134.85   130.96   
139.85   121.04   134.47   135.00   
144.82   143.00   130.78   134.37   
144.73   145.27   134.85   133.69   
144.73   144.63   134.88   134.61   
142.96   145.64   135.35   134.63   
145.32   145.27   135.16   135.33   
145.63   145.60   134.85   135.07   
145.49   144.22   135.35   134.86   
142.29   144.85   135.76   134.47   
139.96   144.30   133.47   135.12   
145.39   144.08   135.77   134.84   
144.81   143.73   135.33   134.87   
