N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
134.57   136.73   129.67   126.72   1.93   
139.64   137.80   125.72   125.27   2.04   
138.88   137.21   127.88   126.57   2.01   
140.60   132.68   127.58   125.20   2.02   
138.31   137.80   128.76   126.30   2.01   
140.10   138.43   127.47   126.24   2.04   
138.63   137.83   128.68   126.53   2.11   
132.44   127.90   126.92   124.74   1.92   
138.40   134.22   130.09   124.48   2.01   
138.40   138.43   128.14   127.05   1.99   
137.32   136.40   116.23   126.38   1.99   
140.37   137.69   117.30   112.79   2.23   
121.57   124.51   109.44   108.74   1.91   
133.68   137.21   128.20   127.05   1.92   
139.61   126.57   116.85   124.43   2.09   
134.78   139.99   128.20   127.05   1.92   
125.41   135.57   130.09   127.05   1.81   
130.61   117.57   111.16   108.50   2.23   
117.38   114.70   98.85   87.40   2.71   
121.60   118.69   108.59   113.10   1.96   
130.51   134.57   116.49   126.38   1.90   
137.57   135.25   129.02   123.21   1.98   
140.34   137.69   128.84   114.17   2.05   
130.82   136.51   126.11   124.43   1.91   
140.22   142.48   129.45   127.73   2.01   
139.99   139.26   127.05   123.45   2.03   
137.21   137.46   128.14   124.74   1.95   
140.60   139.61   127.92   127.79   2.07   
139.75   139.75   128.05   126.46   2.03   
139.26   139.37   128.20   126.59   2.00   
141.58   134.14   130.01   127.33   2.04   
140.96   140.22   128.28   126.91   2.02   
140.84   141.22   127.45   127.52   2.00   
140.48   139.00   80.95   79.78   2.04   
140.22   139.03   126.24   122.70   2.05   
137.91   135.38   126.57   125.33   1.98   
141.73   137.57   127.79   126.91   2.06   
140.72   138.63   128.69   126.26   2.03   
141.73   139.00   129.17   127.39   2.02   
138.77   137.21   128.97   127.24   2.01   
139.96   136.87   127.79   125.99   2.01   
140.60   139.11   126.92   127.33   2.01   
138.06   137.94   127.73   127.05   2.01   
140.37   139.35   128.63   124.29   2.05   
140.10   138.17   128.27   126.45   2.01   
141.73   138.77   129.30   127.12   2.04   
134.00   135.57   128.14   126.05   1.95   
132.89   140.96   129.39   127.26   3.59   
76.09   103.82   128.35   97.05   1.09   
140.84   140.60   128.61   126.53   2.01   
137.32   137.83   128.82   126.78   1.98   
138.40   137.10   128.07   126.80   2.01   
139.26   139.61   128.54   124.55   2.05   
135.93   138.77   128.96   126.65   1.96   
140.48   140.96   127.39   127.52   2.05   
140.96   138.40   128.22   126.97   2.03   
141.22   140.99   129.37   127.60   2.04   
140.10   134.46   127.05   125.20   2.04   
137.46   139.99   129.17   127.12   2.00   
139.72   140.87   125.45   125.92   2.05   
138.77   141.34   128.41   127.86   1.98   
140.37   137.91   127.45   124.35   2.03   
98.94   103.96   97.05   96.50   1.45   
138.40   139.99   125.52   126.32   2.04   
137.80   142.24   128.48   127.24   1.98   
139.99   137.35   129.52   126.91   1.99   
136.29   137.21   129.25   127.52   1.98   
139.99   139.11   126.38   128.35   2.02   
141.10   135.93   126.86   124.68   2.06   
135.25   136.54   126.97   110.50   2.17   
120.48   122.24   115.72   112.62   1.91   
138.17   138.06   128.20   125.33   2.01   
137.57   139.37   130.09   124.41   2.03   
139.87   135.82   128.07   124.60   2.07   
138.54   137.80   128.14   126.84   2.01   
141.07   137.12   130.07   127.52   2.04   
140.45   137.12   127.39   95.42   2.81   
101.73   98.70   96.46   126.32   1.48   
138.77   136.98   126.65   125.00   2.01   
139.49   137.35   125.33   126.70   2.07   
139.84   137.24   127.58   124.88   2.06   
141.34   139.00   127.45   125.39   2.03   
138.77   137.10   127.20   125.84   2.04   
140.96   100.33   97.80   126.91   2.07   
139.00   136.98   128.82   124.61   2.05   
140.60   138.54   126.91   127.60   2.03   
141.97   138.65   127.45   125.52   2.08   
138.91   138.17   127.05   124.74   2.01   
137.46   136.73   127.05   125.59   1.97   
142.21   138.77   129.11   127.33   2.04   
137.94   137.91   126.92   122.45   2.03   
136.87   136.26   95.47   96.81   2.79   
141.73   102.30   97.04   124.55   2.07   
141.49   138.88   128.89   126.32   2.04   
141.10   139.11   129.04   127.99   2.07   
136.73   139.75   129.37   127.33   1.95   
137.94   136.51   127.45   126.65   1.96   
139.49   132.89   128.28   126.11   2.02   
140.45   139.52   128.33   126.86   2.00   
140.72   139.87   129.17   125.86   2.00   
