N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
129.75   133.79   134.38   131.65   2.00   
121.20   106.90   140.75   136.07   1.72   
139.00   132.44   137.39   136.44   2.06   
141.82   124.23   139.13   134.97   2.03   
139.52   135.82   134.67   128.63   1.99   
137.43   136.18   136.36   137.78   1.97   
113.32   134.00   134.38   131.50   1.63   
141.97   134.46   134.61   134.07   2.09   
142.48   135.82   135.66   126.99   2.32   
140.60   134.57   135.45   132.82   2.01   
136.65   112.13   138.41   110.95   2.36   
136.40   137.91   130.16   134.99   1.96   
121.11   142.48   130.65   132.45   2.01   
147.62   136.29   135.52   136.27   2.08   
140.37   136.73   138.01   133.93   2.05   
139.99   126.17   117.19   134.92   1.99   
138.77   136.76   116.05   140.26   2.02   
139.23   123.18   137.14   136.75   2.11   
143.61   129.98   136.53   135.21   2.12   
138.28   134.46   135.59   137.69   1.96   
114.29   135.96   135.90   135.59   1.64   
139.99   123.16   137.78   133.10   2.15   
112.83   140.60   133.86   134.74   1.88   
142.33   114.95   136.90   138.08   2.15   
139.61   120.03   119.95   113.26   2.10   
114.95   140.10   132.52   125.99   1.64   
139.49   130.08   130.65   123.14   2.16   
142.85   134.92   132.38   131.36   1.99   
141.07   129.68   138.41   131.79   2.00   
142.12   121.95   138.01   133.70   2.19   
144.29   123.54   140.28   136.59   2.20   
133.02   130.61   134.45   136.68   2.02   
137.91   129.35   138.08   132.61   2.00   
141.73   127.68   135.68   136.66   2.11   
136.40   128.81   136.92   112.94   1.91   
124.14   140.84   131.00   136.68   1.76   
142.48   135.14   136.92   139.62   2.04   
139.03   139.84   134.99   127.45   1.99   
140.96   126.60   126.05   135.66   2.01   
134.35   118.17   140.26   132.38   2.24   
134.46   128.32   138.24   133.05   2.03   
137.57   135.46   134.92   135.88   1.94   
130.61   135.25   136.92   114.66   2.27   
141.19   137.72   135.14   135.43   2.08   
139.72   135.49   132.59   110.50   1.98   
143.36   113.47   136.99   135.14   2.44   
131.05   136.73   134.99   131.72   2.22   
131.90   128.12   138.16   135.21   2.11   
139.72   136.07   134.97   135.45   2.17   
136.87   134.89   138.58   135.28   2.03   
133.66   134.68   133.26   131.00   2.02   
142.36   128.83   136.90   134.07   2.04   
143.40   127.17   133.70   116.35   2.18   
127.49   139.99   136.36   115.72   1.80   
133.55   136.18   135.66   138.01   1.91   
132.89   132.89   136.99   134.22   2.08   
142.36   124.99   131.59   134.76   2.32   
116.03   137.57   119.47   135.74   1.76   
143.24   136.62   138.08   127.05   2.27   
135.03   135.71   132.66   137.61   2.09   
139.00   128.19   139.38   134.68   2.08   
142.36   132.89   133.63   133.93   2.21   
127.10   123.07   120.18   140.02   1.91   
134.92   114.77   137.37   134.99   1.92   
131.90   129.65   132.89   132.02   1.84   
136.18   135.11   136.07   136.90   1.91   
139.03   114.36   128.41   115.11   2.17   
139.14   135.14   134.52   133.93   2.20   
133.23   123.54   137.39   134.97   2.06   
139.72   130.84   137.84   134.07   2.07   
122.98   113.07   115.94   121.21   2.16   
131.79   137.21   122.84   124.74   1.94   
144.66   116.21   138.48   136.68   2.07   
131.79   138.77   132.36   133.93   1.87   
134.22   137.21   140.36   135.21   1.95   
141.49   136.51   135.74   128.56   1.99   
116.37   131.15   134.38   131.79   2.00   
136.07   115.76   117.65   136.22   1.91   
135.57   135.96   135.50   132.75   1.91   
138.65   137.80   132.09   135.14   1.93   
138.88   135.03   136.90   133.42   1.93   
124.51   129.68   136.36   127.39   1.80   
143.49   134.68   136.53   139.29   2.08   
115.35   142.36   135.90   130.43   1.68   
120.94   120.68   135.81   138.58   1.76   
124.81   134.78   132.98   134.45   1.89   
145.19   138.77   135.45   130.43   2.18   
139.03   134.68   136.59   135.52   2.00   
143.73   136.29   136.75   135.76   2.09   
114.38   137.32   134.99   136.05   1.72   
136.40   134.92   135.66   136.68   2.02   
130.61   132.03   138.48   132.66   1.87   
141.70   129.98   137.29   139.06   2.13   
138.65   129.65   125.72   111.84   1.92   
140.72   123.75   135.90   116.44   1.99   
131.38   125.58   135.59   131.16   1.83   
116.79   129.88   134.45   131.50   1.88   
142.45   138.17   119.17   135.59   2.26   
140.37   134.22   138.33   134.97   2.23   
143.24   120.48   117.94   119.64   2.27   
