N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
128.93   130.18   126.19   125.58   1.92   
133.10   138.65   127.66   132.89   1.93   
140.87   140.45   129.11   132.31   2.07   
140.37   137.43   131.00   132.61   1.99   
141.97   141.10   132.16   125.39   2.10   
136.51   138.28   132.45   129.59   1.94   
140.13   137.57   131.86   124.29   2.15   
117.82   132.00   127.20   131.14   1.72   
139.99   140.57   130.80   129.30   2.03   
140.25   138.17   129.37   130.01   2.01   
138.43   139.00   131.65   131.43   2.00   
134.68   136.98   132.45   130.16   2.01   
137.21   140.48   131.14   129.74   1.99   
138.54   133.90   134.52   131.79   2.04   
135.60   136.29   133.47   132.68   1.93   
141.34   138.28   126.26   132.23   2.01   
136.98   141.34   133.42   131.86   1.94   
134.68   139.23   133.12   129.11   1.95   
139.87   136.40   130.65   130.58   2.06   
142.33   140.99   132.75   129.85   2.17   
139.87   136.51   132.75   131.59   2.02   
137.94   140.48   131.43   130.36   1.98   
133.13   139.37   131.50   130.65   1.95   
140.72   140.37   132.96   131.65   2.02   
140.96   129.98   131.86   130.51   2.00   
139.26   140.60   132.52   129.87   2.02   
139.61   141.34   128.28   131.36   2.06   
138.06   139.37   132.66   129.65   1.94   
142.09   136.76   132.00   129.74   2.05   
139.61   139.87   132.02   127.94   2.01   
