N=1073741824
GB=9.22
threads=56
Copy    Scale   Add     Triad
160.67   160.95   196.31   195.86   
160.89   160.66   196.28   196.20   
160.98   161.03   196.31   195.98   
161.02   161.10   196.40   196.23   
161.26   161.19   195.96   195.72   
160.85   161.26   196.39   195.99   
161.25   161.47   196.23   196.06   
160.88   161.25   195.98   196.07   
161.11   160.88   196.10   196.00   
160.93   161.18   195.98   195.90   
161.04   160.76   195.93   195.98   
161.17   160.96   195.75   195.91   
161.03   160.81   196.21   196.08   
161.33   161.19   196.26   196.05   
160.83   160.91   196.30   195.99   
161.36   161.07   196.23   195.72   
161.15   161.29   196.22   195.68   
161.21   160.77   195.89   195.88   
161.17   160.89   196.40   195.82   
161.08   161.31   196.31   195.80   
160.98   161.25   195.69   195.95   
161.41   161.02   196.13   195.87   
160.93   160.81   196.03   195.94   
161.14   161.11   196.10   195.97   
161.14   161.03   196.34   195.86   
161.17   160.89   196.11   196.10   
161.04   160.97   196.05   195.96   
160.99   161.25   196.08   196.25   
161.06   161.22   196.30   195.85   
161.18   160.95   196.46   195.79   
161.16   161.17   196.13   195.91   
161.02   161.19   196.02   195.86   
161.32   161.29   196.31   196.04   
160.89   161.15   196.05   195.62   
161.12   160.91   195.93   196.05   
160.85   160.94   196.12   195.99   
161.42   160.69   195.90   195.36   
161.20   160.72   195.71   195.94   
161.15   160.99   196.03   196.09   
161.00   160.90   196.20   195.99   
160.96   161.05   196.32   195.79   
161.02   160.67   196.20   195.90   
161.30   160.81   195.88   195.88   
161.03   160.98   195.99   195.79   
161.26   160.90   196.02   195.91   
161.28   160.93   196.10   195.94   
161.20   160.95   196.35   196.46   
161.06   161.07   195.97   195.91   
161.19   161.19   196.34   196.00   
160.59   161.03   195.73   195.82   
160.83   161.01   195.67   196.01   
161.00   161.13   196.03   195.93   
161.16   160.93   196.21   196.05   
161.11   160.86   196.14   195.89   
160.89   160.89   196.05   196.27   
161.39   161.08   196.23   196.26   
161.25   160.87   195.97   196.05   
161.13   160.96   196.57   195.76   
161.19   161.15   196.32   195.80   
161.04   161.01   195.86   195.74   
161.15   161.03   196.29   196.09   
161.03   161.03   196.22   196.32   
161.13   161.11   196.44   195.88   
161.12   161.09   196.26   196.30   
161.00   160.77   195.91   195.46   
161.25   160.81   196.40   196.15   
161.45   160.87   196.52   195.95   
161.16   160.61   196.36   196.18   
161.25   160.82   195.88   196.20   
161.32   160.79   196.55   195.36   
160.97   161.12   196.13   195.85   
161.12   161.03   196.17   195.90   
161.30   160.92   196.15   195.86   
161.21   160.81   196.13   196.02   
161.02   161.18   196.05   195.79   
161.13   161.01   195.85   195.79   
160.94   161.09   196.29   196.03   
160.97   160.98   196.05   195.84   
161.04   161.00   196.24   195.79   
160.76   161.29   196.41   195.88   
161.03   160.81   196.07   196.38   
160.96   161.23   196.42   195.90   
161.31   161.18   196.38   196.17   
161.02   160.91   196.31   196.14   
161.04   160.74   196.04   195.95   
161.22   160.93   196.39   195.72   
161.14   160.60   196.14   195.99   
161.12   160.84   196.27   196.07   
161.24   160.78   196.09   195.89   
161.06   161.06   196.08   195.95   
161.09   161.08   195.90   196.25   
161.14   160.81   195.88   195.59   
161.24   161.03   196.15   195.75   
161.23   161.05   196.28   196.25   
161.11   161.00   195.81   196.03   
160.99   161.03   196.07   196.13   
161.20   161.04   195.69   196.25   
161.08   160.89   196.07   195.98   
161.06   161.24   196.45   195.99   
160.77   161.00   196.48   195.43   
