N               10000000
GB required     0.24
Threads         10
Copy    Scale   Add     Triad
32.18   45.81   52.48   51.12   1.35   
48.43   48.05   54.82   49.76   2.06   
45.85   45.67   57.22   49.17   1.96   
45.83   47.45   56.76   45.21   2.10   
45.31   45.66   53.20   44.13   2.01   
44.18   45.10   59.27   45.83   2.04   
46.50   44.26   52.38   47.72   2.11   
44.33   43.00   60.55   45.41   2.02   
44.79   43.80   52.18   48.59   2.00   
45.07   44.28   52.56   45.02   2.04   
44.28   44.48   51.82   45.12   1.98   
44.64   43.42   52.68   45.21   2.05   
40.54   44.74   59.43   51.70   2.03   
43.73   47.39   62.40   49.18   1.83   
46.40   46.71   57.76   50.06   2.08   
46.66   45.16   60.84   50.06   2.02   
47.63   46.70   63.29   51.06   2.04   
46.78   47.81   63.29   51.03   2.08   
47.77   47.72   60.30   51.03   2.05   
48.25   46.27   62.18   51.22   2.07   
47.23   46.31   62.70   51.15   2.03   
47.06   47.73   63.22   50.93   2.08   
48.28   47.73   63.31   51.20   2.14   
48.68   48.15   62.61   50.62   2.08   
47.21   48.25   62.10   50.13   2.02   
49.10   48.08   61.84   51.31   2.13   
47.11   47.95   52.80   40.73   2.18   
44.33   40.74   45.32   38.08   2.14   
41.82   40.86   50.25   44.58   1.90   
44.36   44.81   51.24   45.68   2.12   
45.03   45.90   61.76   49.61   1.87   
47.21   47.95   63.21   49.64   2.03   
47.36   47.77   60.41   50.74   2.03   
48.09   46.23   63.06   50.60   2.07   
48.34   46.39   62.39   50.72   2.09   
47.90   47.96   62.65   50.55   2.09   
48.29   47.85   61.40   51.20   2.08   
45.94   45.70   57.08   50.00   1.97   
47.81   47.07   63.51   50.78   2.04   
48.24   47.98   60.83   50.92   2.09   
48.25   48.28   59.93   50.62   2.11   
47.63   45.91   61.63   50.71   2.07   
47.79   47.46   61.94   49.74   2.08   
46.22   47.28   59.11   48.86   2.05   
48.23   45.78   62.83   51.05   2.05   
48.47   45.94   62.55   51.46   2.10   
46.38   48.05   62.50   51.69   1.99   
46.27   47.88   63.61   50.61   2.04   
48.03   46.12   62.35   51.81   1.98   
48.88   48.63   59.17   50.79   2.03   
47.89   47.85   63.44   49.91   1.98   
48.81   47.45   61.12   51.22   2.02   
48.30   47.85   60.95   51.53   2.04   
48.65   48.21   61.06   51.59   2.05   
48.50   46.73   62.57   50.44   2.00   
47.23   47.42   62.37   51.31   1.95   
46.67   47.24   61.56   50.80   1.94   
48.22   47.51   61.43   50.86   1.98   
47.39   47.98   61.81   50.96   1.98   
48.46   47.72   61.65   51.32   1.98   
47.21   48.09   63.41   50.55   1.94   
47.38   47.56   59.52   50.85   1.95   
48.10   46.61   62.78   51.18   1.98   
48.32   47.65   62.93   51.42   2.00   
47.64   47.27   62.79   50.63   2.07   
48.47   47.11   62.94   51.30   2.12   
45.33   47.38   52.24   36.42   1.88   
47.83   45.60   53.39   51.20   2.18   
47.53   47.34   56.38   47.99   2.05   
47.09   43.01   61.59   47.40   1.93   
46.92   47.44   53.27   42.77   2.35   
47.00   42.62   51.09   43.85   1.99   
41.23   42.29   48.33   47.29   1.92   
45.74   39.96   57.10   44.24   2.06   
42.60   46.69   50.70   46.00   1.86   
47.78   48.08   63.69   50.71   2.16   
48.07   47.25   64.27   51.46   2.03   
49.05   47.93   63.97   51.32   2.09   
48.78   48.62   63.39   51.85   2.10   
48.25   48.51   64.69   52.08   2.04   
49.17   48.53   64.74   52.12   2.08   
49.19   48.45   64.15   52.12   2.09   
49.17   48.68   64.55   52.30   2.07   
48.78   48.69   64.15   51.25   2.06   
48.12   48.69   63.61   52.01   2.06   
49.17   48.62   63.24   51.30   2.14   
48.99   46.70   63.98   51.24   2.08   
48.26   48.53   63.57   51.77   2.07   
49.09   48.43   63.59   51.88   2.12   
48.83   47.72   64.17   51.96   2.07   
48.09   48.65   63.29   51.82   2.06   
48.80   48.39   63.48   51.77   2.10   
49.10   47.45   64.71   51.70   2.07   
48.12   48.56   63.83   52.08   2.05   
49.14   48.43   64.62   52.06   2.08   
49.01   48.66   64.21   52.07   2.07   
49.02   48.69   64.76   52.11   2.07   
49.03   48.71   64.54   52.08   2.07   
49.19   48.51   64.74   51.60   2.08   
48.81   47.85   64.65   51.44   2.07   
